title,posted_at,description,skills,fixed_price
Looking for Articulate Professional with Gamification expert,2021-11-29T03:48:48.933Z,ZyenaLABS is looking for an expert Articulate Professional with understanding of Gamification elements and SCORM  complaince. Should be very creative in designing the whole learning experience and with good visual quality. The project duration is more than 6 months hence should give a strong commitment.,"Articulate Storyline, Articulate, eLearning, Adobe Illustrator, SCORM, Instructional Design","$4,000"
Design Corporate Investment Deck ,2021-12-12T17:54:39.706Z,"this is going to be a fairly slow going process while we put the content together. 

there will be approximately 10 milestones. 

i need someone to be patient and know how to edit / replicate an existing pitch deck for our purposes. there are a few but we will go slide by slide. 

attention to detail is a must. not rushing is a must. 

you will not be expected to a lot (if any) original design work. but will need to have skilled use of typography and images and layout aesthetics. 

because there are a lot of replies, i will need to filter based on knowing you are reading the full description and therefore understand i need such meticulousness. so in the first sentence of your response, write investment presentation. 

plenty of other jobs (mostly small so please do not ask for employment) just good projects that are not difficult. ","Presentation Design, Business Presentation, Graphic Design, Pitchbook, Data Visualization, Infographics",$200
Affiliate Link Creator,2022-01-03T14:34:13.264Z,"I need a program that creates affiliate links.

By means of a unique code integrated into the link, I want to clearly assign from which advertising partner a customer was referred.

I need the program as an .exe.

thx","Setup & Implementation, eCommerce, ",$25
Next js sitemap and blocking dev environment,2021-12-24T00:57:55.083Z,"Hi There! 

We're looking for an experienced FE developer that can help us with out sitemap and blocking of our develop environment. Specifically: 

Sitemap: 
- Make sure that specific static pages are included
- Make sure that dynamic pages are included (shop pages, city landing pages and model pages). 

Develop enviroment 
- We have a develop environment that sits at develop.ourdomain. 
- We want it blocked from indexing and password protected. ","React, JavaScript, SEO, SEO-based Website",$50
Translate report from English to Chinese,2021-12-30T04:12:51.204Z,"I have 3 documents that need to translate from English to Simplified Chinese. I need someone who can do the document editing so that only Chinese are shown in those documents. 

I need the documents by next Monday Jan 3. ","Translation, Photo Editing",$15
Graphic Designer,2021-06-11T22:33:21.241Z,"We are currently seeking a graphic designer to help us curate various professional projects. This person will be designing quality graphic content for our social media outlets, eBooks, website and more. Our ideal candidate must be proficient in:

-Photoshop, Illustrator, In-Design
-Deadline requirements
-Social Media design

*eBook requirements:
- Each eBook will be between 12 and 15 pages
- Bear in mind that it must be legible upon printing 
- Cover design and layout must be outstanding
- Include charts and various visual components
- Source file must be submitted with all relevant images and charts PSDs

*Social Media requirements
We are on a tight deadline for our social media project as we are on a 30-day live calendar 
-All social media content must be submitted no later than 7 days prior to the post date
-All content will be provided 

*Applications without attached samples and set rates will not be considered. 
*This will be an ongoing project.","Adobe Photoshop, Graphic Design, Adobe Illustrator, Adobe InDesign, Social Media Imagery, Infographics, Brand Identity & Guidelines, eBook Design, Facebook, Pinterest, Twitter, LinkedIn, Instagram Plugin, Banner Ad Design","$1,500"
Create dotted map,2022-01-06T14:03:53.959Z,"Hello there

I am looking for someone to create a white dotted version of a map. 

If you look on our website here (on your mobile) https://www.logstrup.com/contact/ you can see the map of Ireland. However, that map does not contain Northern Ireland, and we need to have northern ireland shown too. 

So I need you to create an almost identical map to the one on our website, just of the whole island of ireland. 
(like this island, just made in dots https://upload.wikimedia.org/wikipedia/commons/7/74/Ireland_%28MODIS%29.jpg)

I hope it makes sense, else I will of course elaborate further.
","Graphic Design, Adobe Illustrator",$12
Need a C# ASP developer to develop a web portal based on google or open street map,2022-01-01T03:12:34.337Z,"I need a web portal in .net that will have a google map or open street map on a side and will display a live video stream on the right.
This is a real-time web portal and we have to display multiple pointers on the map and change its color based on real-time data received via TCP or MQTT or HTTP.
On the map, the admin can add pointers (select icon or shape to be displayed) on the map. After entering settings like name, location name, connect type, connection details the data will be saved into the database along with GPS coordinates automatically fetched.
When the user will log in, all these pointers will be displayed on the map. the software will connect with all the connection strings (TCP, APIs, or MQTT) and listen to status data being received.
For example, if the admin will add a pointer, and enter connection details as IP: 192.168.1.1 port:1234, then the software will continuously listen to this IP and port and display a red or green color icon. If software receives the red message, a red icon will be displayed and alert sound will be played. 
Have a look at this video for reference

https://www.youtube.com/watch?v=oYOb3JmlcRA&t=75s

Interested candidates must have experience in real-time dashboards via any connection type. Please note that this is a long-term project. I need a full-time developer dedicated to working full 8 hours a day under my supervision.","Angular, ASP.NET MVC, JavaScript",$300
I need help with baking a normal map of high poly to low poly 3D model,2021-12-03T15:50:07.904Z,"Hi,

I need a help from someone who can bake a normal map of a 3D Jigsaw Puzzle I have. I have a low poly mesh as well as a high poly mesh.

It should be a straightforward task. There should not be pixelated edges in the normal maps.","Blender, normal maps",$50
Create heatmaps with US county data,2021-12-21T19:48:04.364Z,"We are looking for a data visualization expert to create a few quick heatmaps. The base data is listed against US counties. The end goal is to have the following:
1. a US heatmap map with all county level data (colored according to range of values)
2. Regional heatmaps for each region with the same data values - 7 maps

So 8 maps in total. ","Presentation, Microsoft Excel",$50
Copywriter needed for an Ongoing Project,2022-01-05T15:11:25.220Z,"Please attach relevant past works. 

WHAT WE NEED
We are a B2B SAAS company in need of an Email Marketing Copywriter who can write/edit and structure compelling email content to our warm email list (Initially, 5-7 pre-launch pitch emails to get them to request free demo). The prospects are all located in the US.

In this role, you'll be responsible for reviewing the email copy in each email sequence to ensure it's the most compelling to generate a response. The goal is to get them to request the free demo of the new product, early-bird access.

IDEAL CANDIDATE
- You are creative, innovative, and have a proven track record of writing compelling email copy.
- You understand the different techniques that can be used when doing an email campaign, and apply them to the problem we're solving for our future customers.
- You have impeccable attention to detail.

BONUS
- You have experience with HubSpot email marketing.","Copywriting, Writing",$50
Creating Video,2021-12-22T13:07:17.132Z,"Hello, 
We want to create video to present our new special report.
Please find attached the video script for your kind review.
If you are interested, please share your previous work.
Thank you and best regards, 
Asmaa  ","MP4, Video Intro & Outro, Video Editing, Adobe After Effects, Video Production, Explainer Video, Adobe Premiere Pro",$100
Article Rewriter Needed,2020-08-17T09:32:32.314Z,"I need an content rewriter for my articles. Need to rewrite more than 200 articles. $3 for each article. Requirements: - 100% MANUALLY REWRITTEN content - Plagiarism free - 100% unique and Copyscape passed content - No Spinning/Rewriting software used - High-quality engaging content - Logical, cogent, and harmonious text - Fitting words, terms, and definitions - Grammatical, syntactic, stylistic, and lexical correction.","Content Writing, Copywriting, Editing & Proofreading, Content Marketing Strategy, Fact-Checking, Research, SEO, Website Content, Product Page, About Us Page, Article, Blog Content, White Paper, Social Media Content, English, SEO Writing, Article Writing, Blog Writing, article jobs, Creative Writing, Writing, Hospitality & Tourism",$5
Autonomous creation of map for mobile robot with ROS,2022-01-05T07:25:57.673Z,"Based on ROS its SLAM toolbox and Gazebo a function has to be developed, where the robot should autonomously explore a large simulated environment and create during exploration the map:
- Scene: an already existing demo scene with appr. 50x100m nad at least 3-5 rooms.
- Mobile Robot: any available robot with 2 lidar scanners, ideally one scanner in front right and the other on back left side. Either 2 driving wheels or Omni wheels.
- ""autonomously"" means: instead of manual controlled driving through environment, the robot needs an own nearby navigation/control system, which is trying to follow/bypass the wall/border/obstacle without collision.","C++, Robotics","$2,000"
3D Voxel Artist for Avatar Design & Animation (for sandbox),2021-12-31T23:24:23.750Z,"Looking for an experienced 3D voxel artist to help design, generate, and animate 3-5 sample art pieces for an NFT collection. The 2D reference character pixel art is already complete.

Requirements:
- Design + generate 3D voxel avatar
- Animate 3D voxel avatar - only simple animations required (e.g. walking, running, looking around)","Character Design, 3D Animation, 3D Modeling, 3D Design, 3D Rendering, Animation, Voxel, MagicaVoxel",$400
Pool satellite screenshot on google map,2021-12-26T16:23:02.044Z,"The objective of the mission is to take 1000 screenshots of google maps:
- on which at least one pool appears
- the height must allow for a scale of 100 meters

The screenshot should only contain the satellite view (not the menu, not the taskbar etc.)

Price for 1000 captures: $5

A sample screenshot is attached.","Data Entry, Virtual Assistant, Virtual Assistance, Research",$5
Social Media Admin VA ,2021-12-06T15:43:29.172Z,"Need someone who can be in charge and figure out what to do 
If you know what to do, you can create a full time job for yourself 
The attitude of figuring out on your own 

- Social Media Content / Post 
Know what is good caption and hashtags 
Come up with ideas to promote the products 

- Blog posts 
Find the suitable private label content for our audiences 
convert what I say to text and graphics ( you don't need to create graphics, we have designers but you need to put things together ) 

- Email list ( mailchimp )
setup mail chimp 
follow up with email
create promotion materials 

You don't need to 
1 write from scratch 
2 create any graphics 

You need to know
1 research 
2 come up with ideas on caption / hashtags with the target audiences 
3 take what we have and combine for social media posts / email etc 
4 keep track on what need to be done and do it 
mostly add information, add photos 

Start with 
1 Trial - 3 tasks with the information / reference that I give you 
2 If you pass the trial, you will start by project for 1 - 2 months 
You will tell me what you are going to do and tell me what you have done 
3 If you prove you can take care of all on your own, then you will be monthly full time 

 

","Social Media Marketing, Administrative Support, Social Media Management",$20
Interactive map development for touchscreen devices,2022-01-05T06:49:23.238Z,"Features of this interactive map:

- The map would be touch sensitive 
- When clicked/touched in a particular place in the map, the map would open the imagery project(s) by Geo-location's in that particular area 
- The project imagery could be either in 2D/3D
- In case of 2D, the project images and other details would pop up (example: when was it completed, location, area in square feet etc)
- In case of 3D, the detailing would be more intricate- the consumer will be able to look at it from a 360 point of view and zoom in to see further details. (Example- how we experience a location in Google Map)

Use cases of the map:

- This map will also be used in physical kiosks with smart-screens e.g. Touchscreen TV, Tab etc 
- This map may also be placed in its company website for view only access

Company business:

This interactive map will be used by a Construction Company who have Ongoing, Completed and Upcoming projects across different locations, and this company wants to demonstrate these different category of projects through an Interactive map where clients can touch different geo-locations and get access to imagery & video content of those project sites. This interactive map will be used in trade shows to demonstrate projects to clients. 

Required experience: 

- Participating freelancer must have previous experience in building such applications for other clients and able to demonstrate their work in their proposal. 
- Technicality of the project will be discussed upon request ","Web Application, Map Integration, Google Map Maker, Interaction Design, Web Programming, Front-End Development, HTML5","$1,200"
SSL certificate automation for a custom domain using domain mapping,2021-12-15T05:03:54.597Z,"We have developed a new online education platform. Custom domain or domain mapping is a part of business requirement. The obtaining process of SSL certificate for the new custom domain should be automated.
Letsencrypt should be deployed in digitalocean kubernetes and should renew automatically once setup. Therefore a developer with knowlege in kubernetes is needed. ","Kubernetes, PHP, DevOps, System Administration, SSL, Ingress, digital ocean",$300
Google map extractor chrome extension,2022-01-05T12:42:25.176Z,"I want a chrome extension developer for extracting date from Google map.

This chrome extension should:
- extract data like (type, company name, Website, Email, phone number, address, state, city, zip , etc) by keywords from google map.
- export date in CSV
- two api (sending password for using client via email, checking subscription plan from wordpress website)
- Two versions trial and upgrade versions.","JavaScript, Data Scraping, Chrome Extension, Google Maps API, HTML, CSS",$300
Task to make OSM(Open street map) available in ACF(Advanced Custom Fields) ,2021-11-22T04:43:40.048Z,"Hello.

Work to make OSM available in ACF.

Like Google Maps used in ACF, The thing by OSM is needed.

There is OSM application already made, and this task is to make that application available in ACF.

If anyone can do this, please contact me.

Related screen
https://snipboard.io/xIbuZo.jpg

Regards!

NOTE: There are many WordPress plugs for OSM, but this task shouldn't use them.","API Integration, Custom PHP, WordPress Plugin, Responsive Design, Web Design, AJAX, Java, XQuery, JavaScript, CSS, API, jQuery, PHP, HTML5, WordPress",$50
UI/UX Designer to revamp a Sports Venue Booking Application,2021-12-21T00:01:59.142Z,"App Information

The app is a sports venue booking app where the user is able to find a court/field at their chosen time, area, and sport in Cairo, Egypt and book it. We are looking for a designer to design a more user friendly flow, design, and wireframe.

Here is the current design (XD File):
https://www.dropbox.com/s/1sypyyraboaoqzs/instad%20design%203%20%281%29.xd?dl=0

Here is an overview of the app features:
https://docs.google.com/spreadsheets/d/1CqSDSwZinNjgrmenWPm_3aa77dHDHgbrQ_-BeKHWcsU/edit?usp=sharing

Note: While the current design covers most of the features, some minor features like cancelling a booking are unavailable.

Here is our website for context:
http://instad.rf.gd/?i=3

Time is an important factor in selection as the design is needed as soon as possible.

Assets and additional information is available upon request.
Maximum Budget is $150.

Please reply to the job posting with an estimated time to deliver. Delivery is recommended to be through Figma but Adobe XD is also okay.

","Figma, User Experience Design, Wireframing, User Interface Design",$150
Develop a new process flow map and add a language translator,2022-01-03T13:32:31.531Z,"1. Looking for a developer to change the look and tools within the current process flow map on a custom app. 
2. Looking for a developer to add a google language translator or similar to the custom app for various languages. ","AngularJS, Custom PHP, Web Application, SVG Editor, JS Library, Flowchart Infographic, JavaScript",$250
Adding Viral Trending Products to my Shopify Store,2022-01-06T06:34:48.277Z,I need someone to add 25-50 VIRAL TRENDING PRODUCTS to my Shopify Store! This is including Great Product Descriptions with enhanced SEO. I’m trying to get my store ready for Valentines Day so majority of the products need to be dealing with Valentines Day!,"Shopify, ",$100
3D renderer needed for interior renderings,2021-12-12T18:21:23.231Z,"I am a designer in need of high-quality, photo-realistic renderings of a studio workspace I have already designed and modeled using Rhino. The project is a hybrid of interior design and furniture design. 

I'll provide materials for other furniture in room, and images for desired materials of the desk workspace and shelves. I also have photos of outside environment that would be seen in the windows.","3D Rendering, 3D Modeling, Architectural Rendering, Photorealistic Rendering, Product Rendering, High-Quality Rendering",$50
Earn Fast MONEY From Upload Application In Console Account,2021-12-15T03:38:08.503Z,I have a many applications i want to publish it in google play console account who have a google play console account and who publish my apps in playstore i give them charges for publish my apps in their console account,"Android, Phone, Android App Development, iOS, iOS Development, Mobile App Development, JavaScript, C#, Java, Data Entry",$12
Mobile Flow for Sign-Up Mindmap,2021-12-10T05:07:20.717Z,"We are looking for an excellent mobile funnel architect for the sign-up process of a web-based app. We say mobile because 90% of the people coming to sign up will come from QR code scans via a mobile device. We need to have the work flow and functions of each page put together for the designer to make the desired look and feel.

The project requires a top-level UI/UX expertwith a strong portfolio in mobile and woek flows. 

Please do not apply unless you have a 92% completion rate or higher, have over $10,000 in work on Upwork and have examples to send of your portfolio.","Prototype, Mockup, User Research, Usability Testing, Journey Mapping, Web Design, Graphic Design, User Flows, Style Guide, Mobile App Design, Responsive Design",$500
American English Recording,2021-12-10T03:37:52.102Z,"Hello,everyone, we are now looking for someone who can do recordings for us,we pay 22$ for 488 words. All  words are simple and easy such as turn on the TV, turn off the TV and so on. If you are interestd in it, please let me know.THX
","English, Voice Over, US English Dialect",$22
"Android app, home editor, imap protocol",2021-12-15T02:36:46.652Z,"We are building a simple but much needed app. It will contain a list view, a rich text editor that saves in html, and a few setting. It needs to be able to read and write to imap servers. We are open to any popular frameworks and libraries that will make this easy. The ideal developer will be a problem solver who can write clean, bug free code. This app could require long term maintenance and bug fixes.","Android, imap, rich text editor",$500
"Building a software/program, to share with drivers all specific houses by using google map",2021-10-19T22:34:02.480Z,"Hello, 
We are a charity for saving food, We are taking food from multiple locations and delivering it to people who live in poverty on the town (food surplus),

We have more than 2000 families which means we have more than 2000 locations across the town.

we have 12 drivers who cooperate in delivering the food for the families 

Usually, each driver deliver the meals to approximately 20 families/locations each day 

So, We need to create or develop a program that we can share our families with drivers 

We have all the data for our families who register with us for example names, cellphone, area name, and 20% of them we have the pin location.

Aggregation:
1- we need to be able to add the name of the family and their numbers
2- we need to let our drivers can add the location through Google map address to make it easy for next delivery for any drivers
3- the admin can stop the location changes any time 
4- we able to add/delete more families 
5- Able the driver to add the number of the meals when delivery 
6- we need to be able to classify each family depending on their poverty. ex. the red list need daily food, yellow they need just vegetable or meat, and green who need just food from the grocery (not used food) 
7- can the driver put a note for example the location is wrong, the family doesn't answer, the cellphone is close... 
8- we need to know(daily) how many deliveries each month for each family
9- we need to pick a particular family who calls us for help and needs food urgently 
10- we able to put the families on group depending on the area on the town 
11- can the drivers use the information from their cellphone and can add and edit depending on the admin permission.
12. Able to assign one area or group for one or two drivers. 
13- not all drivers can access all our families.
14-we can have a statistical boar for, today/weekly delivery and meals number.
15- know the driver who delivers to that particular family.
16- easy to access from the cellphone 




Thank you 
","Database Design, API Integration, CRM, SQL, ASP, Business with 10-99 Employees, Microsoft Excel, API, PHP, Python, JavaScript",$400
Search engine optimisation for 3 websites.,2021-12-16T09:04:46.123Z,"We have 3 website of the group companies and we would like to do the SEO work on all 3.
Each website has between 10-20 pages. 
Task would be to start from basic SEO :keywords, key phrases, meta descriptions, links, adding google analytics, etc.
","Google Analytics, B2B Marketing, Business Services, SEO Keyword Research, SEO Backlinking, SEO, On-Page SEO, SEO Performance",$100
"Real Estate website from scratch with search function, google maps, login page etc",2021-12-30T15:38:42.786Z,"Looking to build a real estate website with search function, login page for members and ability to add/delete listings on back end.

Milestones:
1) Home page with search function connected to google maps to search by city, testimonials section, commission calculator all on home page
2) Login page for members and member sign up page. Member's ability to add listings by paying a fee. Connect paypal payment option.
3) Ability to add/edit/delete listings from backend.

Budget flexible depending on level of work.",WordPress,"$3,000"
German Freelancer Needed for Sentence Recording,2022-01-06T12:59:25.555Z,"Hello,
We are Looking For German Native Freelancer For Simple Voice Recording In Our App
There Is  Small Sentences To Be Recorded in Our App, You Just Have Use microphone, Earphone in a Quite Place 
There are 1000 Small Sentences to Be Recorded In Our App and We're Paying 20$ 
Thanks ^ Regards

This is Good opportunity For New Freelancers For taking 5 Star Review",German,$20
Interactive PowerBI-Dashboard for visualizing Business Capabilities (hierarchical map of boxes),2022-01-07T08:58:08.072Z,"I need an interactive and appealing visual presentation of Business Capabilities within PowerBI. Business Capabilities describe the high-level abilities of a company (represented by boxes) that are structured in a hierarchical order and can have multiple levels (depth). Attached, you find a screenshot of a static PowerPoint implementation that shows you exactly what I need. This map contains three levels of capabilities (e.g. level 1: ""Strategic Management""; level 2: ""Strategy Development""; level 3: ""Define Strategy""). The maximum number of levels should not exceed 5.

I would be glad if the visual representation within PowerBI is as close to the given one as possible. But I am also open to other visual representations or other Microsoft tools (MS Visio?) if necessary.

I have the following functional requirements for the interactive Dashboard:
The business capabilities will be stored/edited in a table structure (Name, ID, parent-child-relation, probably further data fields later...). This table must be imported and interpreted by PowerBI, so that no manual editing of the map is necessary if further capabilities are added, removed, or relocated. Please provide a corresponding Excel table with dummy data for this dashboard.
I need a slicer feature, to filter or highlight capabilities based on their properties. E.g. I want to annotate capabilities regarding high criticality and low criticality. I want to be able to have a slicer element to highlight respectively fade-out/grey-out filtered capabilities in the dashboard. The same should be possible for continuous values (e.g. a heatmap based on properties within a range of 0-100).
As in the given PPT example, I want to be able to define the style/color of the capabilities within the source table. This is for a higher visual appeal towards the audience.

I expect a PowerBI-file that contains the dashboard including the slicer elements so that I can edit it further on my own. Furthermore, I also need an Excel file with some dummy data, that I can, later on, replace with the actual business capabilities.
","Microsoft Power BI, Dashboard, ",$50
Translation in Dutch ,2021-11-26T16:59:26.182Z,"You should translate  some text in Dutch. The total of the texts gathered is 9500 words. You will need you can do some editing (if the sentences don't look right, for this part I will help you) You have 1 month for the mission.","English to Dutch Translation, Dutch, Translation",$20
I need a logo for my new bakery business,2021-12-26T17:51:27.150Z,I need a logo for my new bakery business. I and my wife is opening this bakery. If it is possible to make the logo gender neutral I would be more than happy. Only real designer apply please. I know free stuff when I see it. Don't need those designer.,"Logo Design, Graphic Design, Brand Identity & Guidelines, Adobe Illustrator, Adobe After Effects",$100
Integrate Evernote and Measuremap into a Chrome app,2021-11-07T23:35:09.048Z,I have a program that is to be used in the agricultural advisory industry that will allow them to report to farmers that they visit on what they are thinking will be needed for a paddock. We have a very basic mapping attached - and note taking but i would like to add both MeasureMap and Evernote to the app as it will add greater versatility to my application. My application is based on Chrome and i need some help here.,"Evernote, Measure Map, Pasture Pro",$250
Write A Movie Recap.,2022-01-06T20:50:16.450Z,"The text should be written for a video. The general idea is to show the main plot of the movie in a video. 2000-3000 words. Explain the story line chronologically so the story would be understood by the viewer.

You will be given a movie to which you must write a summary/synopsis and turn it into a story for a video. The story must be fluent and cover the main points of the film.

The story has to be linear. You can not just describe what happens on the screen, you have to add context.

The first job is a trial run (you get paid). We are looking for someone for a permanent position, but first we need to see if you can write at the level we need.


Please attach your work when submitting cover letter. ","Editing & Proofreading, Writing, Creative Writing, English, Content Writing",$40
Real estate website with mls feed data with map marker,2022-01-05T01:52:54.524Z,"I want to get the followings for my l real estate site:

1. MLS data feed integration with rets server
2.  setup a very nice server infrastructure, where i can trust to get feed data uploaded by any realtor almost instantly. Maintain powerful SEO and search system and real time data integration as soon as data is available
3. code will constantly keep checking for any listing updates made or not and then we push the update in the main website to get most updated data
4. I need interactive map with amazing map markers pop with listing info and auto scrolling behaviour.
5. Admin panel
6. Powerful server setup and service setup

Mobile optimized versions. Not like responsive, its a dedicated mobile versions in logical code which works logically by detecting user device","Web Design, Web Programming, Google Maps API, JavaScript, PHP","$1,500"
PowerBI layered shape maps,2021-12-24T12:44:04.987Z,"Looking from some help from a PowerBI and/or shape maps expert to help build a report that allows me to drill down/select from National to see  regions, then I select an individual Region to see its sub-regions, when I select a sub-region I see a map of the next level below that. Data will be coming from official stats websites as will the JSON map shape files, I  need assistance to ensure data is set out correctly and build the layered shape maps.","Dashboard, Data Visualization, Microsoft Power BI, ArcGIS, Microsoft Excel",$150
Work to make OSM(Open street map) available in ACF(Advanced Custom Fields),2021-11-18T06:43:15.144Z,"Hello.

Work to make OSM available in ACF.

Like Google Maps used in ACF, The thing by OSM is needed.

There is OSM application already made, and this task is to make that application available in ACF.

If anyone can do this, please contact me.

Related screen
https://snipboard.io/xIbuZo.jpg

Regards!

NOTE: There are many WordPress plugs for OSM, but this task shouldn't use them.","Template Markup, Visualization, WordPress Website, Web Application, Website Redesign, Responsive Design, CSS 3, TypeScript, jQuery, AJAX, WordPress, JavaScript, HTML5, PHP, CSS, HTML, Web Programming, API, Web Design",$50
Homepage Post Plugin,2022-01-05T19:32:51.083Z,"Homepage Post Plugin for https://alertaonline.ro

Write a plugin that shows the latest post or a post that we manually select (the entire post) on the homepage of https://alertaonline.ro.
Important: Plugin should by default show the last post and also have an option to let us choose which article to show.
Note: Plugin should work with tag div composer.

When you are done please also tell us how you did it","WordPress, PHP",$5
Generative art script,2021-12-16T00:47:20.547Z,"Hello, im looking for developer to create script for generative art. The art should work for example with https://github.com/owenmoore/token-art-tools to create multiple images with metadata. We can talk all details in message.","Python, p5js, Vanilla, three.js, WebGL",$500
Create a short video for a mind map,2021-12-29T07:55:22.611Z,"I have a mind-map that i want to convert (or a part of it) into a 2D animated video, the video should be minimum 30 seconds in length.

The mind-map contains multiple nodes and branches, when the video moves into a branch the branch should be lit (with back-shadow or elevation) to show that the video is now focusing on this branch.","2D Animation, Graphic Design, Motion Graphics",$200
"Senior GIS, openlayer and Django Expert coordinates mapping, for urban map",2021-12-24T14:02:35.481Z,"we are looking for an expert that has at least 5 years of web development experience with rich skillsets in GIS, mapbox, geolocation integration with websites. our frontend is built with React.js and we want to integrate a map that seamlessly fits on it.

We have a large dataset consisting of coordinates points that need to be overlayed on an existing map. If you have used sentinel hub API, that would be a bonus.

This is only a begining for an ongoing project, we may continue on an hourly job if you can build this verywell.

some older datasets are written in amharic text. you will have to be able to read and use the language.

Thanks","Geographic Information System (GIS), Python, OpenLayers, Django, React",$50
Need a 3d contour map,2021-12-22T18:51:07.160Z,"I'm looking for someone to create a contour map for my property. It is about 1/2 acre in size.  It has a floodplain that runs through it so I'm trying to map where exactly that is on the property.

The project should include 3d map of the property. 

I have a bunch of drone pictures that I have already taken at different angles. Located here -  https://drive.google.com/drive/folders/1r96NOFBUl0CAOAZ0ryWjKA0jZf9F147_?usp=sharing

I'm new to this so I'm honestly not sure what else is needed. 

All the maps for Gila County can be found here -https://gilacountyaz.maps.arcgis.com/home/index.html
The property can be found on these maps using parcel # 302-16-020

My goal with this project is to determine where the floodplain exists on my property and where I can build a house. 
","3D Modeling, SketchUp, Illustration, Architectural Design, Autodesk AutoCAD",$50
3D in browser endless repeating  map/landscape,2021-12-15T09:52:33.548Z,"I need a very simple and basic moving 3 D map for browers. It should be endless /repeating.
A character should be moveable with either mouse or arrow keys (touch screen not needed but would be apreachiated if included without extra costs)

This is for a prototype only. Real project with much bigger scope will follow. 

I have no experience in 3D and therefore don't have fixed requriements but looking for an ""experimental"" partner.

The map should have an ever running landscape and a huge billboard in the center where news can be displayed.

Here are some samples I have found to give you an ideas - without the buidlings, plain land with plants ok or even colored squares.

If you have samples, please send links to them.

Here are the ones I found

https://threejs.org/examples/#webxr_vr_rollercoaster
https://threejs.org/examples/#misc_controls_pointerlock
https://threejs.org/examples/#games_fps



 ","3D Design, 3D Rendering, 3D Modeling, 3D Animation",$150
"Legal Roadmap for closed-end Crypto & NFT Investment Fund. LPA, PPM, Incorporation, etc. ",2022-01-05T13:15:17.755Z,"You will create, modify, and work with me to finalize a legal prospectus, create a PPM, LPA, business incorporation in Delaware, and the entirety of a roadmap for starting a closed end investment fund for an unleveraged and no futures or forward contracts cryptocurrency and nft investment fund. The fund seeks to raise $5m in capital in the State of Alaska. 

Seeking only experienced candidates only. Must have a LinkedIn profile. 

Cryptocurrency regulation significantly differs from securities regulation and all legal matters must be put into the prospectus with maximum attention to detail. 

Ultimately, at the end of the project our business will be ready to start our process of raising capital. 

Attached is what we have so far. ","Alaska Bar Association, Finance, SEC Regulations, Legal Services, Cryptocurrency, financial law, Financial Disclosures","$3,000"
Google Maps APIs expert for mapping,2021-12-13T08:44:15.634Z,"We have data in a CSV format that we would like to show on google maps and draw lines according to the data points. Based on the intensity of values between two locations on a road we would like to give a different colour to the line that spans between these points.

We are looking for a web developer with expertise in Google Maps APIs to complete this task. Our website design is complete. More discussion will be during the interview. ","Google Maps API, Google APIs, PHP, JavaScript","$1,000"
Google maps location -  react native,2021-12-28T10:22:16.826Z,"Specification:
Firebase + react native 

Requirements
Authentication, Location & Share

Tasks presentation:
https://docs.google.com/presentation/d/1GNxhWu_DiGp8oXuWOk-3hSG0gmF-E2aMs9kNlNDweSg/edit?usp=sharing

Prototype:
https://www.figma.com/proto/4wucRkI6wG5gf1ZqpwerUA/Servy-01?page-id=0%3A1&node-id=79%3A831&viewport=318%2C48%2C0.25&scaling=min-zoom&starting-point-node-id=79%3A831&show-proto-sidebar=1

Deliverable:
Git commit / NO APK required
","Firebase, React Native, JavaScript, Google Maps API",$200
Unity game development for school kids,2021-12-18T18:56:57.358Z,"Looking for game developers 

Game is for pre school kids 
Mainly tracing of alphabets  in multiple languages

English abcd
Hindi and 3 other languages 

Shall share video to show what exactly is required 

Meanwhile please prototype app please try letter a in the app for tracing ","Tablet, Gaming Console, Smart Watch, PC, Hybrid, iOS, Puzzle, Ages 3+, Prototype, Game Development, Mobile Game, Unity, Game Design, Android, Game Design Document, Phone, C#","$1,500"
2D Tileset artist to design an RPG type map (top down kinda like pokemon map) (Looping GIF),2021-11-30T08:37:38.913Z,"Here's an example:
https://i.imgur.com/bbJiesD.gif

(i need something that is cyberpunk or scifi future style), you can also use some assets that i found on unity asset store or find some other tilesets to help you (i can buy these tilesets if you want, and you can change their colors etc to your liking)

also would likely require you to draw some of your own tilesets/art too.

1. resulting image resolution is 1920*1080
2. a background gif image + a bunch of foreground elements, an example is: 
background.gif + movietheater.gif etc (so i can layer them on top of each other)
3. This gif will be fullscreen so imagine having this full screen and you can design the sizes according to this
4. Requirements for all gifs:
    a. background is gif
    b. all elements from are gifs too: 
       you can first make normal version of the gif, and then adjust the normal version to another version when i hover over it with my mouse, and a version when i click it.
    
   movietheater.gif
   movietheater_hover.gif
   movietheater_click.gif    
5. All gifs are looping gifs
6. you can use existing tilesets in unity asset store (i have found some examples that might help)
7. you are able to adjust the tilesets later on if needed
8. You can use these gif assets that i found on unity asset store or find some other tilesets to help you (i can buy these tilesets if you want, and you can change their colors etc to your liking)

Please submit proposal so i can send you full requirement document.","Pixel Art, 2D Animation, Graphic Design, Animation, Adobe Illustrator, Illustration",$60
